Point{x=3975, y=745}
Point{x=2426, y=2322}
Point{x=2721, y=2273}
Point{x=3929, y=1117}
Point{x=605, y=663}
Point{x=3780, y=878}
Point{x=628, y=582}
Point{x=646, y=951}
Point{x=756, y=853}
Point{x=3982, y=1246}
Point{x=4267, y=859}
Point{x=680, y=1031}
Point{x=4298, y=611}
Point{x=641, y=709}
Point{x=2435, y=2861}
Point{x=2320, y=1907}
Point{x=2220, y=2320}
Point{x=2711, y=2405}
Point{x=2297, y=2087}
Point{x=758, y=979}
Point{x=1039, y=780}
Point{x=3737, y=971}
Point{x=2672, y=2616}
Point{x=2467, y=2106}
Point{x=2166, y=2342}
Point{x=2247, y=2598}
Point{x=2474, y=2319}
Point{x=2356, y=2370}
Point{x=2376, y=1840}
Point{x=998, y=667}
Point{x=2175, y=2303}
Point{x=2006, y=2206}
Point{x=3921, y=1113}
Point{x=773, y=699}
Point{x=4174, y=722}
Point{x=4036, y=411}
Point{x=4181, y=1112}
Point{x=2030, y=2479}
Point{x=639, y=749}
Point{x=480, y=876}
Point{x=3857, y=883}
Point{x=743, y=674}
Point{x=3929, y=663}
Point{x=4118, y=838}
Point{x=3899, y=514}
Point{x=3997, y=777}
Point{x=2746, y=2333}
Point{x=2338, y=2469}
Point{x=4296, y=984}
Point{x=962, y=662}
Point{x=4184, y=962}
Point{x=3703, y=833}
Point{x=4084, y=1036}
Point{x=1939, y=2468}
Point{x=4134, y=910}
Point{x=2289, y=2478}
Point{x=867, y=657}
Point{x=3980, y=487}
Point{x=2331, y=2135}
Point{x=2500, y=2161}
Point{x=2203, y=2711}
Point{x=2366, y=1970}
Point{x=2039, y=2461}
Point{x=792, y=1036}
Point{x=2207, y=2069}
Point{x=1021, y=627}
Point{x=633, y=967}
Point{x=4267, y=815}
Point{x=2086, y=2273}
Point{x=1071, y=920}
Point{x=3553, y=832}
Point{x=4148, y=722}
Point{x=3826, y=916}
Point{x=2584, y=2612}
Point{x=3834, y=1070}
Point{x=2168, y=2041}
Point{x=861, y=1096}
Point{x=2442, y=2085}
Point{x=2428, y=2957}
Point{x=2116, y=2375}
Point{x=3937, y=1178}
Point{x=2564, y=2156}
Point{x=4357, y=784}
Point{x=2568, y=2008}
Point{x=3840, y=474}
Point{x=3741, y=705}
Point{x=777, y=1000}
Point{x=3957, y=1251}
Point{x=748, y=1143}
Point{x=2312, y=2392}
Point{x=2311, y=2036}
Point{x=4239, y=546}
Point{x=2289, y=2814}
Point{x=2121, y=2597}
Point{x=2463, y=2737}
Point{x=4132, y=983}
Point{x=2455, y=2277}
Point{x=2689, y=2098}
Point{x=4401, y=710}
Point{x=1054, y=684}
Point{x=4370, y=827}
Point{x=738, y=838}
Point{x=2153, y=2309}
Point{x=2282, y=2046}
Point{x=3953, y=434}
Point{x=4016, y=949}
Point{x=2473, y=2683}
Point{x=3865, y=1137}
Point{x=4042, y=1208}
Point{x=684, y=598}
Point{x=1168, y=773}
Point{x=2174, y=2206}
Point{x=4117, y=443}
Point{x=685, y=835}
Point{x=2407, y=2522}
Point{x=3637, y=879}
Point{x=2479, y=2309}
Point{x=3866, y=939}
Point{x=4042, y=1157}
Point{x=3740, y=985}
Point{x=4035, y=1091}
Point{x=4291, y=603}
Point{x=4075, y=802}
Point{x=4020, y=853}
Point{x=761, y=1011}
Point{x=4084, y=500}
Point{x=3804, y=522}
Point{x=866, y=1103}
Point{x=1088, y=851}
Point{x=2939, y=2357}
Point{x=2093, y=2457}
Point{x=3852, y=541}
Point{x=460, y=830}
Point{x=848, y=615}
Point{x=3919, y=961}
Point{x=576, y=950}
Point{x=2553, y=2651}
Point{x=4300, y=731}
Point{x=2556, y=2030}
Point{x=686, y=533}
Point{x=2298, y=2565}
Point{x=2462, y=2443}
Point{x=833, y=540}
Point{x=3982, y=1185}
Point{x=2733, y=2552}
Point{x=2587, y=2003}
Point{x=2338, y=2738}
Point{x=885, y=530}
Point{x=2032, y=2186}
Point{x=811, y=657}
Point{x=3945, y=1086}
Point{x=860, y=831}
Point{x=2746, y=2509}
Point{x=895, y=856}
Point{x=4112, y=665}
Point{x=743, y=905}
Point{x=1045, y=663}
Point{x=2521, y=2822}
Point{x=2369, y=2372}
Point{x=2492, y=2727}
Point{x=4147, y=987}
Point{x=4003, y=966}
Point{x=2178, y=2070}
Point{x=763, y=636}
Point{x=2458, y=2161}
Point{x=4198, y=807}
Point{x=2343, y=2575}
Point{x=678, y=631}
Point{x=796, y=747}
Point{x=2082, y=2591}
Point{x=2333, y=2658}
Point{x=2541, y=2502}
Point{x=3911, y=1044}
Point{x=2299, y=2284}
Point{x=2327, y=2484}
Point{x=2322, y=2407}
Point{x=2464, y=2211}
Point{x=655, y=987}
Point{x=4156, y=464}
Point{x=984, y=729}
Point{x=4118, y=545}
Point{x=3589, y=847}
Point{x=2492, y=2690}
Point{x=2531, y=2516}
Point{x=3953, y=376}
Point{x=2655, y=2631}
Point{x=2541, y=2321}
Point{x=4070, y=1142}
Point{x=3636, y=909}
Point{x=465, y=740}
Point{x=816, y=1074}
Point{x=2608, y=2415}
Point{x=749, y=756}
Point{x=2236, y=2327}
Point{x=2514, y=2395}
Point{x=915, y=759}
Point{x=2292, y=2615}
Point{x=2333, y=2434}
Point{x=4407, y=774}
Point{x=4058, y=864}
Point{x=2560, y=2359}
Point{x=636, y=785}
Point{x=2807, y=2212}
Point{x=789, y=1070}
Point{x=2601, y=2246}
Point{x=3799, y=883}
Point{x=3984, y=1048}
Point{x=3882, y=960}
Point{x=585, y=884}
Point{x=2551, y=2293}
Point{x=2356, y=1982}
Point{x=4151, y=1032}
Point{x=4388, y=768}
Point{x=4075, y=518}
Point{x=934, y=1045}
Point{x=597, y=893}
Point{x=2646, y=2180}
Point{x=4048, y=658}
Point{x=2491, y=2622}
Point{x=4254, y=772}
Point{x=2442, y=1943}
Point{x=974, y=855}
Point{x=3853, y=823}
Point{x=2617, y=2119}
Point{x=3749, y=578}
Point{x=868, y=823}
Point{x=3979, y=592}
Point{x=4229, y=964}
Point{x=2518, y=2269}
Point{x=3831, y=682}
Point{x=788, y=617}
Point{x=3795, y=835}
Point{x=4091, y=600}
Point{x=2437, y=2470}
Point{x=2528, y=2387}
Point{x=913, y=636}
Point{x=2382, y=2025}
Point{x=4076, y=1222}
Point{x=2249, y=2151}
Point{x=1028, y=909}
Point{x=2801, y=2561}
Point{x=2197, y=2541}
Point{x=2615, y=2069}
Point{x=810, y=439}
Point{x=937, y=1054}
Point{x=4092, y=1005}
Point{x=2798, y=2278}
Point{x=2776, y=2198}
Point{x=4056, y=1211}
Point{x=2015, y=2503}
Point{x=607, y=663}
Point{x=2028, y=2220}
Point{x=1093, y=702}
Point{x=2634, y=2048}
Point{x=2288, y=2210}
Point{x=4106, y=665}
Point{x=1917, y=2441}
Point{x=2486, y=2294}
Point{x=1169, y=813}
Point{x=1913, y=2342}
Point{x=2816, y=2412}
Point{x=929, y=1046}
Point{x=3884, y=1027}
Point{x=2911, y=2351}
Point{x=814, y=827}
Point{x=1993, y=2543}
Point{x=4293, y=959}
Point{x=790, y=877}
Point{x=3852, y=1108}
Point{x=2439, y=2871}
Point{x=1029, y=706}
Point{x=3812, y=702}
Point{x=2269, y=2616}
Point{x=2409, y=2474}
Point{x=4166, y=974}
Point{x=4127, y=484}
Point{x=2334, y=2722}
Point{x=3755, y=703}
Point{x=622, y=1018}
Point{x=4105, y=689}
Point{x=3878, y=1079}
Point{x=2259, y=2595}
Point{x=1032, y=936}
Point{x=4480, y=788}
Point{x=2278, y=1925}
Point{x=2148, y=2228}
Point{x=4367, y=794}
Point{x=2008, y=2385}
Point{x=2354, y=2529}
Point{x=2148, y=2373}
Point{x=651, y=579}
Point{x=2616, y=2345}
Point{x=737, y=620}
Point{x=4079, y=987}
Point{x=2163, y=2622}
Point{x=474, y=856}
Point{x=709, y=1043}
Point{x=4238, y=640}
Point{x=4053, y=834}
Point{x=806, y=1018}
Point{x=885, y=1047}
Point{x=2066, y=2382}
Point{x=2912, y=2391}
Point{x=2012, y=2335}
Point{x=2233, y=1975}
Point{x=2760, y=2371}
Point{x=2003, y=2245}
Point{x=2805, y=2466}
Point{x=3895, y=953}
Point{x=4097, y=1118}
Point{x=4012, y=577}
Point{x=3686, y=659}
Point{x=4091, y=1191}
Point{x=4319, y=643}
Point{x=2701, y=2644}
Point{x=806, y=603}
Point{x=4014, y=999}
Point{x=2396, y=2600}
Point{x=2938, y=2366}
Point{x=4055, y=434}
Point{x=4020, y=640}
Point{x=2264, y=2072}
Point{x=2494, y=2260}
Point{x=1934, y=2400}
Point{x=762, y=892}
Point{x=4477, y=788}
Point{x=2963, y=2387}
Point{x=3740, y=828}
Point{x=1189, y=796}
Point{x=2601, y=2023}
Point{x=766, y=553}
Point{x=3621, y=804}
Point{x=4329, y=755}
Point{x=3924, y=623}
Point{x=3986, y=1221}
Point{x=979, y=668}
Point{x=684, y=598}
Point{x=2431, y=2722}
Point{x=2494, y=1922}
Point{x=3773, y=713}
Point{x=2629, y=2074}
Point{x=4355, y=773}
Point{x=3580, y=869}
Point{x=552, y=885}
Point{x=2283, y=2569}
Point{x=4286, y=676}
Point{x=4467, y=783}
Point{x=2527, y=2410}
Point{x=2332, y=2290}
Point{x=2610, y=2455}
Point{x=2648, y=2087}
Point{x=4026, y=335}
Point{x=3800, y=920}
Point{x=3706, y=598}
Point{x=2148, y=2721}
Point{x=3660, y=740}
Point{x=3625, y=762}
Point{x=2599, y=2770}
Point{x=2318, y=2120}
Point{x=711, y=540}
Point{x=2202, y=2152}
Point{x=4060, y=827}
Point{x=3968, y=1032}
Point{x=4220, y=745}
Point{x=3928, y=742}
Point{x=4324, y=719}
Point{x=4052, y=379}
Point{x=695, y=1050}
Point{x=2877, y=2435}
Point{x=703, y=669}
Point{x=493, y=834}
Point{x=3795, y=688}
Point{x=1869, y=2339}
Point{x=857, y=953}
Point{x=2582, y=2115}
Point{x=2797, y=2369}
Point{x=3872, y=910}
Point{x=2223, y=2326}
Point{x=1850, y=2356}
Point{x=2513, y=2011}
Point{x=3993, y=675}
Point{x=4022, y=857}
Point{x=4081, y=948}
Point{x=1031, y=847}
Point{x=720, y=964}
Point{x=3892, y=535}
Point{x=660, y=590}
Point{x=2538, y=2123}
Point{x=2169, y=2227}
Point{x=4015, y=1259}
Point{x=3620, y=871}
Point{x=3769, y=934}
Point{x=4203, y=939}
Point{x=3578, y=770}
Point{x=1025, y=836}
Point{x=764, y=782}
Point{x=4000, y=602}
Point{x=3834, y=1007}
Point{x=3981, y=1110}
